call_path,py_component,c_component,c_path
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\mlu\test_logical_op_mlu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\mlu\test_logical_op_mlu.py,values,tensor_method_get_non_zero_elements,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\distributed\passes\cpp_pass.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\distributed\passes\cpp_pass.py,register_pass,lambda expression,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\pybind.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_dist_mnist_with_program.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_activation_sparse_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\ir\inference\test_trt_flatten_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\auto_parallel\test_dist_shape.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\npu\test_is_empty_op_npu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_pylayer_op.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_pylayer_op.py,Layer,Layer,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\jit.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_pylayer_op.py,detach,tensor_method_detach,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_pylayer_op.py,apply,pylayer_method_apply,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_py_layer.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_pylayer_op.py,clone,tensor_method_clone,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\framework\dtype.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\framework\dtype.py,VarDesc,VarDesc,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\protobuf.cc
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\xpu\test_fleet_exe_dist_model_run_xpu.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\tensor\array.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\fluid\tests\unittests\test_parameter.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\sparse\creation.py,all calls is excessive,,
F:\python_workplace\Paddle-develop\python\paddle\sparse\creation.py,indices,tensor_method_get_non_zero_indices,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\sparse\creation.py,values,tensor_method_get_non_zero_elements,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
F:\python_workplace\Paddle-develop\python\paddle\sparse\creation.py,crows,tensor_method_get_non_zero_crows,F:\python_workplace\Paddle-develop\paddle\fluid\pybind\eager_method.cc
