module_name,module_asname,c_file_path,c_lineno,python_file_path,py_lineno
pywrap_tensor_test_util,util,F:\python_workplace\tensorflow-master\tensorflow\python\eager\pywrap_tensor_test_util.cc,27,F:\python_workplace\tensorflow-master\tensorflow\python\eager\pywrap_tensor_test.py,18
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\eager\polymorphic_function\composite_tensor_utils.py,18
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\eager\polymorphic_function\monomorphic_function.py,56
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\framework\composite_tensor.py,20
_pywrap_determinism,,F:\python_workplace\tensorflow-master\tensorflow\python\util\determinism.cc,20,F:\python_workplace\tensorflow-master\tensorflow\python\framework\config.py,21
_pywrap_tensor_float_32_execution,,F:\python_workplace\tensorflow-master\tensorflow\python\util\tensor_float_32.cc,19,F:\python_workplace\tensorflow-master\tensorflow\python\framework\config.py,22
_dtypes,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\dtypes.cc,62,F:\python_workplace\tensorflow-master\tensorflow\python\framework\dtypes.py,27
_pywrap_custom_casts,,F:\python_workplace\tensorflow-master\tensorflow\python\lib\core\custom_casts_wrapper.cc,19,F:\python_workplace\tensorflow-master\tensorflow\python\framework\dtypes.py,30
_pywrap_float8,,F:\python_workplace\tensorflow-master\tensorflow\python\lib\core\float8_wrapper.cc,19,F:\python_workplace\tensorflow-master\tensorflow\python\framework\dtypes.py,31
_pywrap_bfloat16,,F:\python_workplace\tensorflow-master\tensorflow\python\lib\core\bfloat16_wrapper.cc,19,F:\python_workplace\tensorflow-master\tensorflow\python\framework\dtypes.py,29
_dtypes,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\dtypes.cc,62,F:\python_workplace\tensorflow-master\tensorflow\python\framework\dtypes_test.py,21
_pywrap_py_exception_registry,,F:\python_workplace\tensorflow-master\tensorflow\python\py_exception_registry_wrapper.cc,26,F:\python_workplace\tensorflow-master\tensorflow\python\framework\errors_impl.py,21
_errors_test_helper,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\errors_test_helper.cc,20,F:\python_workplace\tensorflow-master\tensorflow\python\framework\errors_test.py,22
_pywrap_file_io,,F:\python_workplace\tensorflow-master\tensorflow\python\lib\io\file_io_wrapper.cc,48,F:\python_workplace\tensorflow-master\tensorflow\python\framework\errors_test.py,26
_proto_comparators,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\proto_comparators.cc,70,F:\python_workplace\tensorflow-master\tensorflow\python\framework\graph_util_impl.py,23
_pywrap_python_op_gen,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_op_gen_wrapper.cc,24,F:\python_workplace\tensorflow-master\tensorflow\python\framework\load_library.py,26
_memory_checker_test_helper,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\memory_checker_test_helper.cc,30,F:\python_workplace\tensorflow-master\tensorflow\python\framework\memory_checker_test.py,16
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_library.py,31
_op_def_library_pybind,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_library_pybind.cc,614,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_library_pybind.py,19
_op_def_registry,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_registry.cc,24,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_registry.py,23
_op_def_util,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_util_pybind.cc,48,F:\python_workplace\tensorflow-master\tensorflow\python\framework\op_def_util_test.py,25
_pywrap_python_api_info,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_info_wrapper.cc,58,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_info_test.py,20
_pywrap_python_api_info,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_info_wrapper.cc,58,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_parameter_converter_test.py,23
_pywrap_python_tensor_converter,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_tensor_converter_wrapper.cc,116,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_parameter_converter_test.py,30
_pywrap_python_api_parameter_converter,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_parameter_converter_wrapper.cc,51,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_api_parameter_converter_test.py,29
_python_memory_checker_helper,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_memory_checker_helper.cc,20,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_memory_checker.py,24
_pywrap_python_tensor_converter,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_tensor_converter_wrapper.cc,116,F:\python_workplace\tensorflow-master\tensorflow\python\framework\python_tensor_converter_test.py,23
_py_context_manager,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\py_context_manager_pybind.cc,49,F:\python_workplace\tensorflow-master\tensorflow\python\framework\py_context_manager_test.py,17
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\framework\sparse_tensor.py,37
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\framework\tensor.py,38
_pywrap_stacktrace_handler,,F:\python_workplace\tensorflow-master\tensorflow\python\platform\stacktrace_handler_wrapper.cc,21,F:\python_workplace\tensorflow-master\tensorflow\python\framework\test_util.py,80
_pywrap_util_port,,F:\python_workplace\tensorflow-master\tensorflow\python\util\port_wrapper.cc,20,F:\python_workplace\tensorflow-master\tensorflow\python\framework\test_util.py,84
_test_metrics_util,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\test_metrics_util.cc,28,F:\python_workplace\tensorflow-master\tensorflow\python\framework\test_util.py,52
_pywrap_tf2,,F:\python_workplace\tensorflow-master\tensorflow\python\platform\enable_tf2.cc,19,F:\python_workplace\tensorflow-master\tensorflow\python\framework\tf2_test.py,23
_pywrap_utils,,F:\python_workplace\tensorflow-master\tensorflow\python\data\experimental\service\utils_wrapper.cc,23,F:\python_workplace\tensorflow-master\tensorflow\python\framework\type_spec.py,36
_unified_api,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\unified_api.cc,82,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\def_function.py,17
_tape,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\tape.cc,47,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\gradient_registry.py,17
_math_ops,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.cc,32,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\math_ops.py,17
_nn_ops,,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\nn_ops.cc,32,F:\python_workplace\tensorflow-master\tensorflow\python\framework\experimental\nn_ops.py,17
